id,administratie_id,user_id,soort,datum,naam,omschrijving,bedrag_excl,btw_bedrag,bedrag_incl,btw_pct,bron,extra,aangemaakt,bestand_pad,betaald,betaald_datum
68937ba8-e10d-41f7-b657-ecb233a9c8cf,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-22,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0005 Claude.pdf,{},2026-07-28 10:22:48.56525+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234167812_Invoice-T38I8NLA-0005_Claude.pdf,true,2026-07-30
7098f254-7e24-457c-b585-af3537763cd7,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-25,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0009.pdf,{},2026-07-28 10:23:36.226108+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234215827_Invoice-T38I8NLA-0009.pdf,true,2026-07-30
798b0b5f-6e17-49a2-b915-cc7d7635add1,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-12,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0003 Claude.pdf,{},2026-07-28 09:31:35.373441+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231096292_Invoice-T38I8NLA-0003_Claude.pdf,true,2026-07-30
8dcf9f14-dbd5-46f8-9b96-950b2346e4fb,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2025-11-08,Boedelbak BV,Aanhangwagen type EH 1350 - groot dubbelas gesloten (geremd),48.76,10.24,59.00,21,Factuur_0145346 boedelbak 8-11-25.pdf,{},2026-07-30 13:23:18.67079+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785417799253_Factuur_0145346_boedelbak_8-11-25.pdf,false,
9491a9d4-5a34-403a-90b7-d8130218a637,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-23,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0007 Claude.pdf,{},2026-07-28 10:23:05.831774+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234185562_Invoice-T38I8NLA-0007_Claude.pdf,true,2026-07-30
9b6c3e83-9bf3-49c7-8118-24101a24b4f8,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,omzet,2026-06-12,Amsterdam Winery BV,Vergoeding gewerkte uren Maart 2026 en declaraties,6480.00,1360.80,7840.80,21,Factuur Schröder Business Consult 06-2026 - 120626 - Amsterdam Winery BV.pdf,{},2026-07-28 07:07:25.534389+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785222445582_Factuur_Schr_der_Business_Consult_06-2026_-_120626_-_Amsterdam_Winery_BV.pdf,false,
a0564af9-b961-40f2-8fcf-e6db8d6fd235,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-04-24,"Anthropic, PBC","Claude Pro Apr 24–May 24, 2026",18.00,0.00,18.00,0,Invoice-TO4FPYPZ-0001-IT kosten.pdf,{},2026-07-28 10:24:50.906149+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234290688_Invoice-TO4FPYPZ-0001-IT_kosten.pdf,true,2026-07-30
ab1772e6-2cae-4d4b-8100-887fe6d27475,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-05-15,Vodafone Libertel B.V.,Mobiel abonnement mei 2026,27.78,5.83,33.61,21,factuur_Mei 2026.pdf,{},2026-07-28 09:30:36.301266+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231037219_factuur_Mei_2026.pdf,true,2026-07-30
b099b384-fbb9-4579-8889-8e5adc7621f6,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2025-12-18,Wassenaarse Golfclub Rozenstein,"Contributie Gewoon lid, NGF afdracht, Cateringfee",1251.50,0.00,1251.50,0,Factuur 260936 Rozenstein 2026 Betaald 31-12-2025.pdf,{},2026-07-30 13:23:05.982643+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785417786226_Factuur_260936_Rozenstein_2026_Betaald_31-12-2025.pdf,false,
b14692e0-9caa-4830-afd1-e6a1005dddec,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,omzet,2026-02-28,Chateau Amsterdam Productie / Verkoop BV,Werkuren Februari 2026 en km vergoeding woon-werk,2244.26,471.29,2715.55,21,Factuur Schröder Business Consult 02-2026 - 280226.pdf,{},2026-07-28 09:14:29.860214+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230069741_Factuur_Schr_der_Business_Consult_02-2026_-_280226.pdf,false,
b6b7f7f7-ed28-47d3-96ab-6e6b43fdb7ec,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,omzet,2026-01-31,Chateau Amsterdam Productie / Verkoop BV,"Fee Januari 2026 conform afspraak, km vergoeding en diverse declaraties",6142.81,1289.99,7432.80,21,Factuur Schröder Business Consult 01-2026 - 310126.pdf,{},2026-07-28 09:15:45.333172+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230145635_Factuur_Schr_der_Business_Consult_01-2026_-_310126.pdf,false,
d027f224-62ca-42a8-9724-d50aa98df495,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-15,Vodafone Libertel B.V.,Mobiel abonnement juni 2026,27.78,5.83,33.61,21,factuur_Juni 2026.pdf,{},2026-07-28 09:30:25.100413+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231026029_factuur_Juni_2026.pdf,true,2026-07-30
df071657-aab4-4097-b5bc-b875a4f585d2,de0e7167-0851-4d98-95ac-9c498b11832d,883cf1f3-e833-47b4-9e42-f3c225656b62,omzet,2026-07-27,piet,,200.00,42.00,242.00,21,handmatig,{},2026-07-27 17:53:47.591758+00,,false,
f4fbfcbb-43f9-4221-b86b-08950b1624db,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2025-11-09,Boedelbak BV,Aanhangwagen type EH 1350 - groot dubbelas gesloten (geremd),47.11,9.89,57.00,21,Factuur_0145735 - boedelbak 9-11-25.pdf,{},2026-07-30 13:23:30.344983+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785417810966_Factuur_0145735_-_boedelbak_9-11-25.pdf,false,
fb3fd62a-67ca-4559-99ba-b8505f4dd94b,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-05-29,"Anthropic, PBC",One-time credit purchase,5.00,1.05,6.05,21,Invoice-T38I8NLA-0001.pdf,{},2026-07-28 09:31:12.315668+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231072836_Invoice-T38I8NLA-0001.pdf,true,2026-07-30
fb533c40-64dd-453f-a009-3e16ca303169,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-03-15,Vodafone Libertel B.V.,Mobiel abonnement maart 2026,27.78,5.83,33.61,21,factuur_Maart 2026.pdf,{},2026-07-28 09:20:52.216414+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230452825_factuur_Maart_2026.pdf,true,2026-07-30
fe2def04-c1ef-485e-804a-1872c8eeb2b3,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-15,Delissen Martens advocaten en belastingadviseurs B.V.,Juridische dienstverlening Schröder Business Consult/Chateau Amsterdam,222.60,46.75,269.35,21,Declaratie 26005117 - Schröder Business Consult.pdf,{},2026-07-28 09:29:54.048003+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230994061_Declaratie_26005117_-_Schr_der_Business_Consult.pdf,true,2026-07-30
ff7c0568-859a-40e2-b251-2306cc40419d,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-04-17,Vodafone Libertel B.V.,Mobiel abonnement Red Pro Connect,27.78,5.83,33.61,21,factuur_April 2026.pdf,{},2026-07-28 09:30:12.045275+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231012925_factuur_April_2026.pdf,true,2026-07-30
